Method: ComplexLocalOptimalScheme
SLAE Number: 1
Threads: 12
Smoothing: NoSmoothing
Total time: 14019 ms
Total iterations: 529

End iteration: 529 		 ||f - Ax^j|| / ||r^0||: 9,353070683225737E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		5,958811309039812E-001	5,958811309039812E-001
2		2,226022977021684E-001	2,226022977021686E-001
3		1,896729150636444E-001	1,896729150636443E-001
4		1,825912219132342E-001	1,825912219132342E-001
5		2,028591756336328E-001	2,028591756336327E-001
6		1,381070894068710E-001	1,381070894068709E-001
7		1,241555222200097E-001	1,241555222200095E-001
8		9,983608619946872E-002	9,983608619946877E-002
9		9,819699865378843E-002	9,819699865378850E-002
10		1,120043775923339E-001	1,120043775923338E-001
11		1,017989561528980E-001	1,017989561528980E-001
12		5,144306305127795E-002	5,144306305127790E-002
13		3,486239312387214E-002	3,486239312387213E-002
14		3,434456813441290E-002	3,434456813441283E-002
15		2,949227887846164E-002	2,949227887846165E-002
16		5,689387431765277E-002	5,689387431765277E-002
17		2,744453088220614E-002	2,744453088220615E-002
18		2,326674236658305E-002	2,326674236658304E-002
19		2,470903766247673E-002	2,470903766247674E-002
20		1,770458097198016E-002	1,770458097198016E-002
21		1,743000763075889E-002	1,743000763075888E-002
22		1,366441171284252E-002	1,366441171284251E-002
23		1,756598792348468E-002	1,756598792348469E-002
24		1,833740552984139E-002	1,833740552984137E-002
25		1,965274009226655E-002	1,965274009226656E-002
26		1,499434296727147E-002	1,499434296727149E-002
27		9,466097169762336E-002	9,466097169762340E-002
28		7,873845402952361E-002	7,873845402952356E-002
29		4,779122456150271E-002	4,779122456150266E-002
30		3,786084533339865E-002	3,786084533339865E-002
31		3,513527223578546E-002	3,513527223578543E-002
32		2,493794058023082E-002	2,493794058023083E-002
33		3,790821478354821E-002	3,790821478354823E-002
34		7,697688153688954E-002	7,697688153688957E-002
35		3,388170855052994E-002	3,388170855052992E-002
36		7,663480613125628E-002	7,663480613125635E-002
37		7,908016263753531E-002	7,908016263753528E-002
38		2,026437435687951E-002	2,026437435687952E-002
39		1,887600979641299E-002	1,887600979641300E-002
40		4,682294764439414E-002	4,682294764439415E-002
41		1,159198954535545E-002	1,159198954535545E-002
42		1,609357344987289E-002	1,609357344987288E-002
43		1,049614395895218E-002	1,049614395895218E-002
44		8,689294136069534E-003	8,689294136069541E-003
45		6,879121187263531E-003	6,879121187263534E-003
46		1,250232816124600E-002	1,250232816124600E-002
47		6,165855403834902E-003	6,165855403834900E-003
48		5,989171791452669E-003	5,989171791452668E-003
49		1,898957068727841E-002	1,898957068727841E-002
50		4,617829888873311E-003	4,617829888873312E-003
51		5,310390008701330E-003	5,310390008701330E-003
52		5,649416108464803E-003	5,649416108464798E-003
53		4,714486201528899E-003	4,714486201528900E-003
54		4,712671719102611E-003	4,712671719102605E-003
55		5,413903521148980E-003	5,413903521148979E-003
56		7,557617045148103E-003	7,557617045148100E-003
57		8,585041184731718E-003	8,585041184731716E-003
58		1,111398547644578E-002	1,111398547644577E-002
59		1,190604670937826E-002	1,190604670937826E-002
60		1,543993698139016E-002	1,543993698139016E-002
61		1,498260666288295E-002	1,498260666288297E-002
62		6,130591750330622E-003	6,130591750330621E-003
63		4,499814702239263E-003	4,499814702239263E-003
64		4,253001765267034E-003	4,253001765267037E-003
65		5,862540167672724E-003	5,862540167672727E-003
66		5,414095187411610E-003	5,414095187411610E-003
67		5,620311124020757E-003	5,620311124020760E-003
68		5,657843093809126E-003	5,657843093809123E-003
69		5,396177872301202E-003	5,396177872301202E-003
70		3,715999606014122E-003	3,715999606014121E-003
71		4,111608509433567E-003	4,111608509433569E-003
72		3,352272320030731E-003	3,352272320030734E-003
73		3,493105279834136E-003	3,493105279834136E-003
74		3,952595199395750E-003	3,952595199395752E-003
75		4,261206243580775E-003	4,261206243580774E-003
76		1,196505262017092E-002	1,196505262017092E-002
77		3,174905969544881E-002	3,174905969544879E-002
78		1,273244757271478E-002	1,273244757271478E-002
79		4,123046566296490E-003	4,123046566296490E-003
80		6,119466187884157E-003	6,119466187884154E-003
81		3,661016707387396E-003	3,661016707387397E-003
82		5,917891955897868E-003	5,917891955897868E-003
83		3,148809242614061E-003	3,148809242614059E-003
84		2,737703721551191E-003	2,737703721551191E-003
85		2,997310929405359E-003	2,997310929405360E-003
86		1,555946993186193E-003	1,555946993186194E-003
87		2,211402418541219E-003	2,211402418541218E-003
88		2,556874922715243E-003	2,556874922715242E-003
89		1,461974884377382E-003	1,461974884377381E-003
90		1,383435469696833E-003	1,383435469696833E-003
91		1,574846022011256E-003	1,574846022011257E-003
92		1,291059333096025E-003	1,291059333096026E-003
93		1,306357947556537E-003	1,306357947556535E-003
94		1,242146167473059E-003	1,242146167473060E-003
95		1,245415135783676E-003	1,245415135783676E-003
96		1,283136483265304E-003	1,283136483265305E-003
97		1,256342369393389E-003	1,256342369393389E-003
98		1,440175494489676E-003	1,440175494489677E-003
99		1,943425956387176E-003	1,943425956387177E-003
100		2,984256476335396E-002	2,984256476335396E-002
101		1,688473046055309E-003	1,688473046055309E-003
102		2,120813091477127E-003	2,120813091477128E-003
103		1,840012843201864E-003	1,840012843201863E-003
104		1,492351749523205E-003	1,492351749523206E-003
105		1,310698803792062E-003	1,310698803792063E-003
106		1,710431681315834E-003	1,710431681315834E-003
