Method: COCG
SLAE Number: 3
Threads: 1
Smoothing: ResidualSmoothing
Total time: 2773704 ms
Total iterations: 7110

End iteration: 7110 		 ||f - Ax^j|| / ||r^0||: 9,994299360995924E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		8,851667267076222E-001	6,975823503577399E-001
2		3,681250326383424E-001	3,320751433891913E-001
3		6,752594680399483E-001	3,320751433891913E-001
4		4,729485332532527E-001	2,166634253489460E-001
5		3,490903007414813E-001	2,059949597508790E-001
6		7,692852686898189E-001	2,020944714298568E-001
7		6,204699030760049E-001	1,774474709908762E-001
8		5,018042745955948E-001	1,762734079889830E-001
9		2,450552997125472E-001	1,376962125108852E-001
10		2,335881572902782E-001	1,292695671710915E-001
11		5,348673154587125E-001	1,292695671710915E-001
12		7,032481152775979E-001	1,292695671710915E-001
13		6,115159173475022E-001	1,278803282050767E-001
14		4,139047408627953E-001	1,198423506338798E-001
15		8,421388100519430E-001	1,190327357784396E-001
16		3,165340274310894E-001	1,002863049515063E-001
17		1,969757781976744E-001	9,194772882602602E-002
18		4,498997135406943E-001	9,157224348848976E-002
19		6,303635699959853E-001	9,076937047991299E-002
20		1,139000682850829E+000	9,076937047991299E-002
21		8,362376405377641E-001	8,759339340878472E-002
22		8,411040389790632E-001	8,444121283061660E-002
23		1,119588521655458E+000	8,421038822296879E-002
24		5,095171539049329E-001	8,289208048017091E-002
25		4,882475093166349E-001	7,840564009530282E-002
26		3,916105384907510E-001	7,755395772400112E-002
27		3,812213294276831E-001	7,755395772400112E-002
28		4,839105029864592E-001	7,351982707890864E-002
29		6,285172571658215E-001	7,351982707890864E-002
30		1,168454385155124E+000	7,351982707890864E-002
31		1,207982507124768E+000	7,288430582156964E-002
32		1,580560849182070E+000	7,288430582156964E-002
33		3,832626720743132E+000	7,288430582156964E-002
34		2,134886603871252E+001	7,288430582156964E-002
35		3,075666906766375E+000	7,170624036393668E-002
36		8,216080541953265E-001	7,161005568236098E-002
37		6,189124066882196E-001	7,123641931880467E-002
38		1,397331633830432E+000	7,089436345600983E-002
39		3,079439994453048E-001	6,960940221340461E-002
40		2,017440753289201E+000	6,960940221340461E-002
41		1,967550497281636E+000	6,960940221340461E-002
42		1,241454335848540E+000	6,935167353008094E-002
43		1,764943838315544E+000	6,935167353008094E-002
44		4,773351317317550E-001	6,852998962696147E-002
45		4,241462740497506E-001	6,845358083044734E-002
46		9,377578529243194E-002	5,640031389957490E-002
47		3,184076064037618E-001	5,640031389957490E-002
48		7,433200494359488E-001	5,640031389957490E-002
49		4,902365913211735E-001	5,541455682040525E-002
50		2,066682185283690E+000	5,541455682040525E-002
51		1,141252067457841E+000	5,491067827062528E-002
52		2,637897460602229E+000	5,491067827062528E-002
53		6,945266573396675E-001	5,407920508723634E-002
54		4,907567355135360E-001	5,404069246599959E-002
55		6,248881245490968E-001	5,404069246599959E-002
56		2,822393546532992E+000	5,402506657753962E-002
57		5,543907648837286E-001	5,264049589739181E-002
58		1,175732338161732E+000	5,210332744872571E-002
59		6,694711029515984E-001	5,207537608072665E-002
60		7,555755647240980E-001	5,207537608072665E-002
61		1,467002175131475E+000	5,207537608072665E-002
62		2,249171247088083E+000	5,144769820385541E-002
63		6,671223467231932E+000	5,144769820385541E-002
64		1,534298510701069E+000	5,061706461705402E-002
65		2,702473629279632E+000	5,061706461705402E-002
66		9,115576509602867E-001	4,981877553491741E-002
67		4,375413794197056E+000	4,980151102888570E-002
68		2,327486788441216E+000	4,979295585084504E-002
69		4,837742274988837E+000	4,979295585084504E-002
70		1,905657943918114E+000	4,934583844096333E-002
71		2,496548172768313E+000	4,934228439893092E-002
72		1,220318660531520E+000	4,867945388412805E-002
73		1,764168879974436E+000	4,867945388412805E-002
74		1,239049115951717E+000	4,867945388412805E-002
75		2,256908167939295E+000	4,867945388412805E-002
76		8,022059701175932E-001	4,861343366423885E-002
77		9,566718498251052E-001	4,861167597431472E-002
78		3,531259551837180E-001	4,848472278609357E-002
79		5,532699186156079E-001	4,848472278609357E-002
80		7,288497481215562E-001	4,845246727213933E-002
81		1,331417450690892E+000	4,845246727213933E-002
82		2,207708686917848E+000	4,845246727213933E-002
83		1,516449619559295E+000	4,844927166447702E-002
84		5,291810943800140E-001	4,811678569297186E-002
85		3,573231047537331E-001	4,714056983513746E-002
86		3,232783487047330E-001	4,714010104655703E-002
87		5,401248930857181E-001	4,683430967479540E-002
88		1,062980811066984E+000	4,672487094204424E-002
89		1,299735234021069E+000	4,672487094204424E-002
90		1,356246983869202E+000	4,672487094204424E-002
91		3,377575445377410E-001	4,639090849578231E-002
92		3,531785315635749E-001	4,589938451250079E-002
93		3,771571374338925E-001	4,589938451250079E-002
94		3,779098279444510E-001	4,523426473732275E-002
95		2,886705584995931E-001	4,512316382460152E-002
96		3,360624681025161E-001	4,512087486190339E-002
97		1,958745342969176E-001	4,498619694261826E-002
98		2,865634818455481E-001	4,423747414791122E-002
99		2,409264477629663E-001	4,423747414791122E-002
100		6,122164284947388E-001	4,423747414791122E-002
101		1,594185947321561E-001	4,267757529240149E-002
102		3,121326821659564E-001	4,267757529240149E-002
103		1,966588039873343E-001	4,267571074408039E-002
104		1,171006281702153E+000	4,149819084333712E-002
