Method: ComplexLocalOptimalScheme
SLAE Number: 3
Threads: 12
Smoothing: ResidualSmoothing
Total time: 1500011 ms
Total iterations: 4681

End iteration: 4681 		 ||f - Ax^j|| / ||r^0||: 9,968583305063713E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		7,548324610422380E-001	7,511521916964164E-001
2		3,539270896693458E-001	3,417146778747443E-001
3		2,947900112729722E-001	2,947900112729722E-001
4		3,753591491922433E-001	2,563264674354811E-001
5		1,943980097836583E-001	1,818888642258452E-001
6		1,787393793884751E-001	1,742765879704066E-001
7		2,232814384899714E-001	1,734664983985169E-001
8		2,525900038141353E-001	1,722564640314465E-001
9		1,605424282263876E-001	1,338032232298499E-001
10		1,389873572024049E-001	1,158401211414974E-001
11		1,234900233490767E-001	1,128348683826061E-001
12		1,089716962691922E-001	1,067151247215865E-001
13		1,198963656022587E-001	1,064330329360622E-001
14		1,055921045588510E-001	9,496656461067600E-002
15		8,748647438597178E-002	8,748647438597174E-002
16		2,786238045969570E-001	8,748647438597179E-002
17		1,042841736418735E-001	7,625902102280359E-002
18		8,001813199171659E-002	7,132576965930865E-002
19		6,666799102075058E-002	6,370252392975093E-002
20		6,034869553255940E-002	5,958073384423723E-002
21		9,540128828792427E-002	5,958073384423724E-002
22		1,020009867035158E-001	5,958073384423723E-002
23		1,097562741417593E-001	5,958073384423721E-002
24		2,114236692112747E-001	5,958073384423724E-002
25		1,594686911718128E-001	5,956086637159001E-002
26		2,030578058487839E-001	5,949576180618585E-002
27		1,118874748579433E-001	5,349523583508895E-002
28		8,380353675628710E-002	5,152311140841313E-002
29		2,200763812168680E-001	4,983988847198224E-002
30		5,727753480294545E-002	4,703143345498041E-002
31		7,830177479916858E-002	4,703143345498041E-002
32		1,154384141074376E-001	4,703143345498045E-002
33		5,029397941661872E-002	4,513354174635298E-002
34		5,111234938041204E-002	4,513354174635300E-002
35		9,241410761286178E-002	4,465876070604846E-002
36		1,299360867124395E-001	4,381636198812366E-002
37		1,022242404462369E-001	4,284074267081581E-002
38		1,575001312546589E-001	4,268070751111595E-002
39		1,265534612451620E-001	4,193388434594317E-002
40		6,836432331726862E-002	3,649316559167301E-002
41		7,843683313869684E-002	3,649316559167305E-002
42		8,335866535319654E-001	3,649316559167305E-002
43		3,566616635446734E-001	3,649316559167302E-002
44		1,046172509464291E-001	3,254849195510956E-002
45		1,651923660525957E-001	3,145492827313052E-002
46		1,065546808556883E-001	3,101862878173043E-002
47		6,642657566023266E-002	2,983902481785177E-002
48		7,340920162956167E-002	2,983902481785180E-002
49		4,551743969178528E-002	2,949880518768823E-002
50		4,233281249015280E-002	2,946579672250184E-002
51		3,850506325944208E-002	2,877970826166878E-002
52		4,649997423229689E-002	2,877970826166880E-002
53		6,163824837282829E-002	2,877970826166874E-002
54		5,884341191785695E-002	2,877970826166877E-002
55		4,448167242628930E-002	2,877970826166876E-002
56		5,737444454164046E-002	2,877421461797164E-002
57		1,208619731896581E-001	2,877421461797162E-002
58		2,467632566440595E-001	2,877421461797151E-002
59		3,532243251143398E-001	2,877421461797165E-002
60		5,093163146329791E-002	2,710981273795404E-002
61		4,305381847721486E-002	2,311472987096991E-002
62		4,407849053522064E-002	2,303245548813287E-002
63		3,204943960887997E-002	2,287040032874878E-002
64		2,616309100300366E-002	2,245384764566142E-002
65		3,593554052152530E-002	2,010973436195277E-002
66		2,529008366041005E-002	1,965822080514465E-002
67		1,837480693235254E-002	1,832190309050158E-002
68		2,448380173475260E-002	1,800134515944051E-002
69		1,879890170082079E-002	1,759471718853200E-002
70		2,169222859697485E-002	1,759471718853196E-002
71		2,012749596400266E-002	1,759364135833820E-002
72		3,425459312218505E-002	1,759364135833820E-002
73		1,910279972663110E-002	1,752278390152996E-002
74		1,803887681502130E-002	1,733364429930912E-002
75		1,822896826759648E-002	1,716748268427512E-002
76		3,396707648616173E-002	1,716748268427512E-002
77		2,606463849191216E-002	1,716748268427512E-002
78		4,764458076268781E-002	1,716748268427504E-002
79		2,558858278292395E-002	1,716748268427513E-002
80		2,541146873040808E-002	1,716748268427511E-002
81		2,258273944123932E-002	1,716748268427512E-002
82		2,204866787066972E-002	1,716748268427513E-002
83		2,722408641099412E-002	1,716748268427512E-002
84		3,894685861470516E-002	1,716748268427511E-002
85		7,916747840837143E-002	1,710986559827834E-002
86		3,743183939915249E-002	1,710986559827840E-002
87		3,463370827084026E-002	1,710986559827833E-002
88		2,843691015114058E-002	1,710986559827840E-002
89		3,684080801133229E-002	1,710986559827841E-002
90		3,074970272762828E-002	1,710986559827841E-002
91		4,466842298265377E-002	1,710986559827841E-002
92		1,408394179639634E-001	1,710986559827840E-002
93		4,673856833592180E-002	1,705190472157019E-002
94		1,216433360989944E-001	1,684298800755881E-002
95		4,980723845348664E-002	1,603717176956681E-002
96		1,029617075560611E-001	1,603340877875353E-002
97		5,208486862738015E-002	1,563734415435855E-002
98		1,963557355487925E-001	1,526739387206529E-002
99		5,449330296645958E-002	1,416992000721242E-002
100		5,329147887606365E-002	1,379201843776879E-002
101		6,580270964775355E-002	1,376677594416361E-002
102		2,793452800918551E-002	1,334311599846779E-002
103		4,533718671522561E-002	1,334311599846781E-002
104		3,822067949104799E-002	1,334311599846779E-002
105		3,273667473305122E-002	1,334311599846780E-002
106		4,059132309836275E-002	1,334311599846780E-002
107		1,371445269324260E-001	1,293795352480237E-002
108		1,988316037594249E-001	1,293760078780043E-002
109		1,143614603047753E-001	1,218426743726268E-002
110		6,827840555224064E-002	1,185973494740572E-002
111		8,764560600494926E-002	1,138660554453255E-002
112		4,511957179243273E-002	1,127805931672586E-002
113		5,111173658386959E-002	1,127805931672586E-002
114		2,125288758602965E-002	1,111108182357929E-002
115		2,283231602929081E-002	1,111108182357928E-002
116		2,091345366332207E-002	1,111108182357924E-002
117		2,135883012761859E-002	1,110393006926353E-002
118		2,382593083411827E-002	1,110393006926356E-002
119		2,563529931848226E-002	1,110393006926355E-002
120		4,035331110725073E-002	1,110393006926356E-002
121		2,987024378184337E-002	1,110393006926356E-002
122		2,060641870886402E-002	1,108236553525358E-002
123		2,673606100094359E-002	1,094161977229259E-002
124		1,996665741224649E-002	1,064230611194883E-002
125		1,888533038879405E-002	1,030090132114401E-002
126		1,466996946125296E-002	1,026896253502225E-002
127		1,293796716824825E-002	1,025463752194921E-002
128		1,836069185541039E-002	1,025463752194921E-002
129		1,901727910313726E-002	9,928265761686518E-003
130		1,288236808035737E-002	9,774933696522110E-003
131		1,246411417400634E-002	9,769601717763268E-003
132		1,246279993503834E-002	9,769601717763261E-003
133		1,321470036524218E-002	9,769601717763272E-003
134		1,434631990291279E-002	9,769601717763265E-003
135		1,472384024409010E-002	9,769601717763209E-003
136		6,147867265931861E-002	9,715013824570349E-003
137		4,469780672400347E-002	9,715013824570368E-003
138		4,108448396485748E-002	9,683920865537763E-003
139		2,781468305956134E-002	9,647483833450177E-003
140		3,321024644996670E-002	9,561171625276066E-003
141		1,359344890441479E-002	9,247805426467878E-003
142		1,180430900243526E-002	9,162717209658978E-003
143		1,653062655689350E-002	9,162717209658977E-003
144		1,559568579951469E-002	8,848094059133539E-003
145		3,127942499915882E-002	8,848094059133553E-003
146		1,067716329842109E-002	8,012888577505511E-003
147		9,415517658897530E-003	7,985441888753168E-003
148		9,752706960952836E-003	7,967136107909143E-003
149		2,233282164589185E-002	7,967136107909155E-003
150		1,221687554121186E-002	7,910751565566558E-003
151		1,273625463475289E-002	7,898054355793308E-003
152		1,275230148510863E-002	7,897519751519965E-003
153		1,891900213925218E-002	7,897519751519992E-003
154		1,607814180424139E-002	7,897519751519958E-003
155		2,013684587742522E-002	7,897519751519992E-003
156		2,528942013844156E-002	7,880715766390291E-003
157		2,513231151166924E-002	7,879886444549200E-003
158		3,063639506483176E-002	7,879886444549197E-003
159		9,841534181495912E-002	7,879886444549199E-003
160		4,487018959915054E-002	7,879886444549188E-003
161		4,895186581612111E-002	7,879886444549193E-003
162		2,210103669936539E-002	7,816526089353104E-003
163		3,560400305720537E-002	7,810135457380501E-003
164		2,924979159300869E-002	7,472951397547272E-003
165		2,805342025370962E-002	7,423067281304703E-003
166		1,867938685534384E-002	7,358451263751206E-003
167		2,146890481615612E-002	6,893201620273724E-003
168		1,316638319503643E-002	6,840591008939526E-003
169		1,904920024792836E-002	6,839052532683646E-003
170		3,282766838855270E-002	6,839052532683625E-003
171		4,293506684817239E-002	6,812803903275343E-003
172		2,976287353933670E-002	6,786560486910048E-003
173		2,070019116365160E-002	6,786560486910046E-003
174		2,079417493785372E-002	6,786560486910048E-003
175		1,692072941013052E-002	6,776092060396432E-003
176		1,389184603122245E-002	6,672179814362464E-003
177		1,938366542662501E-002	6,672179814362467E-003
178		2,088185634228588E-002	6,609002451011084E-003
179		5,524203611802035E-002	6,602313039216079E-003
180		2,435877286464467E-002	6,601371066931758E-003
181		2,913537669292489E-002	6,601371066931752E-003
182		2,231721688843129E-002	6,593643116200987E-003
183		1,723983199081645E-002	6,592109388366616E-003
184		4,905386192440814E-002	6,592109388366619E-003
185		1,396916242451312E-002	6,516539617437626E-003
186		2,274098571575386E-002	6,516539617437624E-003
187		3,724300275206062E-002	6,516539617437609E-003
188		2,364625843066045E-002	6,516539617437623E-003
189		1,567598774851680E-002	6,499299899651085E-003
