Method: COCG
SLAE Number: 4
Threads: 4
Smoothing: NoSmoothing
Total time: 10063053 ms
Total iterations: 22839

End iteration: 22839 		 ||f - Ax^j|| / ||r^0||: 9,36331725268484E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		8,850906311095414E-001	1,000000000000000E+000
2		3,669363516979779E-001	3,669363516979755E-001
3		6,628430020764250E-001	3,669363516979779E-001
4		4,788663391238110E-001	4,788663391238112E-001
5		3,443261752434232E-001	4,788663391238113E-001
6		7,598560532034178E-001	7,598560532034137E-001
7		6,192631940711104E-001	7,598560532034201E-001
8		5,127734078557661E-001	5,127734078557653E-001
9		2,428016313930671E-001	5,127734078557658E-001
10		2,318125022833727E-001	2,318125022833731E-001
11		5,065579507864534E-001	2,318125022833731E-001
12		6,701573266486511E-001	6,701573266486659E-001
13		6,242781112685502E-001	6,701573266486512E-001
14		4,380532073096552E-001	4,380532073096440E-001
15		8,972422363144120E-001	4,380532073096449E-001
16		3,116843790772561E-001	3,116843790772564E-001
17		1,906302624575231E-001	3,116843790772608E-001
18		4,357657334251362E-001	4,357657334251359E-001
19		7,213276952940929E-001	4,357657334251392E-001
20		1,225239755237390E+000	1,225239755237390E+000
21		8,831333858189829E-001	1,225239755237399E+000
22		8,590543092061191E-001	8,590543092061131E-001
23		1,184570673391963E+000	8,590543092061133E-001
24		6,816746118270766E-001	6,816746118270766E-001
25		6,265000651585697E-001	6,816746118270764E-001
26		4,770561214822436E-001	4,770561214822430E-001
27		5,505924742694910E-001	4,770561214822434E-001
28		6,739585147305185E-001	6,739585147305153E-001
29		1,005613013142539E+000	6,739585147305154E-001
30		1,778390681240321E+000	1,778390681240308E+000
31		2,282592387234533E+000	1,778390681240315E+000
32		4,508702034727549E+000	4,508702034727545E+000
33		5,916546224285129E+000	4,508702034727547E+000
34		1,764789204446108E+001	1,764789204446056E+001
35		1,286219457332870E+001	1,764789204446059E+001
36		2,873649206248259E+000	2,873649206248259E+000
37		1,813149258711266E+000	2,873649206248263E+000
38		3,008103206792718E+000	3,008103206792728E+000
39		4,516227028072820E-001	3,008103206792740E+000
40		3,419478133060562E+000	3,419478133060552E+000
41		6,746283478369826E+000	3,419478133060557E+000
42		1,746722292203877E+001	1,746722292203864E+001
43		1,362879633099585E+000	1,746722292203879E+001
